Depth,Mean,SD,-SD,+SD
10.50,6.01,0.42,5.60,6.43
10.55,5.99,0.43,5.57,6.42
10.60,6.02,0.58,5.44,6.61
10.65,6.05,0.81,5.24,6.86
10.70,6.09,0.95,5.14,7.04
10.75,5.87,0.89,4.98,6.76
10.80,5.72,0.88,4.84,6.60
10.85,5.81,2.03,3.78,7.84
10.90,5.90,3.26,2.63,9.16
10.95,5.97,3.43,2.54,9.39
11.00,5.84,2.17,3.67,8.01
11.05,5.74,0.73,5.01,6.47
11.10,5.87,0.96,4.91,6.83
11.15,6.02,1.21,4.80,7.23
11.20,6.20,1.29,4.91,7.49
11.25,6.40,1.27,5.13,7.67
11.30,6.57,1.27,5.30,7.84
11.35,7.38,2.74,4.65,10.12
11.40,8.62,4.75,3.87,13.37
11.45,9.22,5.78,3.44,15.00
11.50,9.31,5.58,3.73,14.89
11.55,9.39,5.34,4.05,14.73
11.60,10.06,4.46,5.60,14.52
11.65,10.90,3.55,7.36,14.45
11.70,11.54,2.85,8.70,14.39
11.75,10.92,2.95,7.97,13.87
11.80,10.28,2.98,7.30,13.26
11.85,10.16,2.67,7.49,12.83
11.90,10.09,2.34,7.75,12.43
11.95,10.92,1.98,8.95,12.90
12.00,12.63,3.62,9.01,16.24
12.05,14.06,4.20,9.86,18.26
12.10,14.95,5.26,9.69,20.22
12.15,14.95,5.54,9.41,20.50
12.20,14.74,5.51,9.23,20.25
12.25,14.95,4.81,10.15,19.76
12.30,14.95,3.99,10.96,18.95
12.35,14.95,4.76,10.19,19.71
12.40,14.96,5.98,8.97,20.94
12.45,14.73,6.34,8.39,21.06
12.50,14.63,5.88,8.75,20.52
12.55,14.48,5.50,8.98,19.98
12.60,14.65,5.44,9.21,20.09
12.65,14.96,5.56,9.39,20.52
12.70,14.95,5.31,9.63,20.26
12.75,14.46,4.99,9.47,19.45
12.80,13.62,4.28,9.34,17.90
12.85,14.40,5.48,8.92,19.88
12.90,14.96,6.66,8.30,21.62
12.95,14.96,7.23,7.73,22.19
13.00,14.96,7.11,7.85,22.06
13.05,14.95,7.01,7.94,21.96
13.10,14.95,7.61,7.34,22.56
13.15,14.95,8.31,6.64,23.27
13.20,14.20,8.20,6.00,22.40
13.25,14.48,9.08,5.40,23.55
13.30,14.95,10.20,4.75,25.15
13.35,13.35,7.92,5.43,21.27
13.40,11.56,5.47,6.09,17.03
13.45,9.93,2.53,7.40,12.46
13.50,9.62,1.59,8.03,11.21
13.55,9.28,0.96,8.31,10.24
13.60,9.30,0.77,8.52,10.07
13.65,9.34,0.62,8.72,9.96
13.70,9.37,0.48,8.89,9.85
13.75,9.30,0.35,8.95,9.65
13.80,9.25,0.43,8.82,9.68
13.85,9.24,0.51,8.73,9.76
13.90,9.25,0.60,8.65,9.85
13.95,9.28,0.65,8.62,9.93
14.00,9.28,0.69,8.59,9.97
14.05,9.33,0.80,8.53,10.12
14.10,9.35,0.92,8.44,10.27
14.15,9.36,1.06,8.29,10.42
14.20,9.34,0.87,8.47,10.21
14.25,9.13,0.75,8.38,9.88
14.30,8.91,0.75,8.16,9.66
14.35,8.82,0.77,8.05,9.58
14.40,8.75,0.81,7.94,9.56
14.45,8.69,0.77,7.91,9.46
14.50,8.59,0.73,7.86,9.31
14.55,8.37,0.77,7.59,9.14
14.60,8.46,0.68,7.78,9.13
14.65,8.56,0.56,8.00,9.12
14.70,8.60,0.54,8.06,9.14
14.75,8.55,0.68,7.87,9.22
14.80,8.50,0.85,7.64,9.35
14.85,8.45,1.10,7.34,9.55
14.90,8.41,1.34,7.07,9.75
14.95,8.27,1.14,7.12,9.41
15.00,7.98,0.95,7.03,8.93
15.05,7.68,1.00,6.68,8.67
15.10,7.63,1.03,6.60,8.66
15.15,7.58,1.01,6.58,8.59
15.20,7.50,0.85,6.65,8.35
15.25,7.31,0.73,6.58,8.04
15.30,7.15,0.59,6.56,7.74
15.35,6.95,0.51,6.44,7.47
15.40,6.72,0.44,6.27,7.16
15.45,6.54,0.44,6.10,6.98
15.50,6.38,0.38,6.00,6.76
15.55,6.16,1.39,4.77,7.55
15.60,6.66,2.37,4.29,9.04
15.65,7.88,3.89,4.00,11.77
15.70,9.21,4.23,4.98,13.44
